Date;Open;High;Low;Close;Adj Close;Volume
2018-06-03;5.623960;6.388390;4.650120;6.338100;6.338100;30915
2018-06-04;6.327260;6.355890;5.459440;5.707330;5.707330;34149
2018-06-05;5.710030;5.972420;5.473930;5.958330;5.958330;34740
2018-06-06;5.956730;5.961350;5.448700;5.578870;5.578870;43786
2018-06-07;5.583990;6.059990;5.541240;6.059990;6.059990;12168
2018-06-08;6.067750;7.180680;6.035800;6.494990;6.494990;35546
2018-06-09;6.492680;6.850710;6.082760;6.234290;6.234290;14536
2018-06-10;6.242610;6.242610;5.263620;5.567790;5.567790;10164
2018-06-11;5.576100;5.708130;5.227830;5.523060;5.523060;3461
2018-06-12;5.397060;6.307120;4.920020;4.991230;4.991230;7337
2018-06-13;5.003820;5.804010;4.714500;5.479450;5.479450;8083
2018-06-14;5.483330;5.920840;5.318140;5.533330;5.533330;8143
2018-06-15;5.525630;5.533320;4.921610;4.941030;4.941030;8826
2018-06-16;4.923540;5.268050;4.750260;4.900200;4.900200;3751
2018-06-17;4.909370;5.400080;4.886740;5.381790;5.381790;1593
2018-06-18;5.192290;5.532890;5.073640;5.498320;5.498320;5258
2018-06-19;5.542900;6.009290;5.232780;5.954300;5.954300;7555
2018-06-20;5.958470;5.959090;5.138830;5.236710;5.236710;6138
2018-06-21;5.236760;5.292540;5.083660;5.258740;5.258740;5342
2018-06-22;5.253820;5.257390;4.605900;4.620010;4.620010;2105
2018-06-23;4.621110;4.838870;4.613480;4.728090;4.728090;4722
2018-06-24;4.727420;4.799190;4.333120;4.799190;4.799190;8675
2018-06-25;4.789890;4.934260;4.369640;4.925310;4.925310;1468
2018-06-26;4.925310;4.936950;4.426720;4.708070;4.708070;2204
2018-06-27;4.705370;4.705370;4.282450;4.484200;4.484200;5142
2018-06-28;4.487100;4.726480;2.734570;4.652760;4.652760;5705
2018-06-29;4.654970;4.683410;4.065240;4.399600;4.399600;1575
2018-06-30;4.405060;4.604610;4.300970;4.521520;4.521520;5964
2018-07-01;4.522530;4.579120;4.094610;4.140940;4.140940;2373
2018-07-02;4.141400;4.903730;4.105800;4.738850;4.738850;608
2018-07-03;4.717160;4.844750;3.926050;3.929020;3.929020;6167
2018-07-04;3.927710;4.758950;3.710910;4.575850;4.575850;7842
2018-07-05;4.588350;4.760300;4.304350;4.613260;4.613260;3896
2018-07-06;4.612300;4.994700;4.604630;4.853020;4.853020;2435
2018-07-07;4.845720;4.956230;4.371050;4.565120;4.565120;2474
2018-07-08;4.559980;5.033430;4.519770;4.605520;4.605520;2756
2018-07-09;4.604520;4.791060;4.014880;4.595720;4.595720;3525
2018-07-10;4.592490;4.744380;4.018230;4.371160;4.371160;1245
2018-07-11;4.371330;4.602800;3.918670;3.949090;3.949090;2495
2018-07-12;3.949250;4.363750;2.647260;3.290360;3.290360;15229
2018-07-13;3.293860;4.215240;2.648420;4.215240;4.215240;4618
2018-07-14;4.204980;8.847530;2.073560;2.843750;2.843750;38846
2018-07-15;2.842990;6.400070;2.731770;3.664680;3.664680;6669
2018-07-16;3.668710;5.766020;3.113790;4.658760;4.658760;53766
2018-07-17;4.647270;4.995070;4.049690;4.313510;4.313510;7327
2018-07-18;4.311940;5.598230;4.311940;4.937700;4.937700;7548
2018-07-19;4.935350;6.361740;4.450650;4.894430;4.894430;11933
2018-07-20;4.897800;5.326560;4.285920;5.304960;5.304960;4719
2018-07-21;5.303800;5.448480;4.273180;4.789460;4.789460;3599
2018-07-22;4.788120;5.334540;3.900530;4.892790;4.892790;5497
2018-07-23;4.887110;4.887110;3.892340;4.341530;4.341530;8157
2018-07-24;4.346850;5.107480;4.152060;4.877880;4.877880;9210
2018-07-25;4.653980;4.939000;4.274180;4.421680;4.421680;4273
2018-07-26;4.420380;4.991910;3.826920;3.866440;3.866440;14677
2018-07-27;3.864340;4.319090;3.300270;4.279880;4.279880;9924
2018-07-28;4.288720;4.374560;3.212770;3.481570;3.481570;7902
